Timestamp,Motor_Position,Potentiometer_Data
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"2
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"1
"
2024-07-24 18:48:24,0,"0
"
2024-07-24 18:48:24,0,"1
"
